"target","type","quality","N_eval","Acc_raw","selected_method","ECE_conf_none","ECE_conf_temp","ECE_conf_platt","ECE_conf_selected","ECE_event_none","ECE_event_temp","ECE_event_platt","ECE_event_selected","delta_conf_vs_none","delta_event_vs_none","param_source","param_T","param_a","param_b","calibration_rds","calibration_fit_scope","eval_split","taxonomy_filter","objective","generated_utc"
"biosafety","excluded","EXCLUDED",NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lofo_median",NA,NA,NA,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"cellshape","multiclass_11","FAIL",1658,0.166465621230398,"temp",0.159412520885526,0.112582863217461,NA,0.112582863217461,0.0277147272860628,0.0226451244578974,NA,0.0226451244578974,0.0468296576680647,0.00506960282816534,"lofo_median",1.546,NA,NA,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"cellsize","excluded","EXCLUDED",NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lofo_median",NA,NA,NA,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"flagellum","multiclass_6","FAIL",219,0.497716894977169,"temp",0.124437350140046,0.116621069362149,NA,0.116621069362149,0.0324177502980398,0.0293452929082231,NA,0.0293452929082231,0.00781628077789698,0.00307245738981666,"lofo_median",1.035,NA,NA,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"gram","multiclass_3","PASS",1896,0.810126582278481,"temp",0.0727029435707934,0.0704328465833236,NA,0.0704328465833236,0.0435348815484779,0.0462053122845652,NA,0.0462053122845652,0.00227009698746979,-0.00267043073608739,"lofo_median",1.084,NA,NA,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"motility","binary_sigmoid","PASS",1586,0.709962168978562,"platt",0.0118702926788414,0.0130443925940324,0.0178985685591448,0.0178985685591448,0.0740456430704688,0.0720722044647465,0.0276299948087963,0.0276299948087963,-0.00602827588030345,0.0464156482616726,"lofo_median",1.072,1.021,-0.394,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"oxygen_facultative","softmax_2class","PASS",334,0.652694610778443,"platt",0.051592521489114,0.0407533621346467,0.0221975217218009,0.0221975217218009,0.320835762507612,0.331420722762149,0.0221975217218009,0.0221975217218009,0.0293949997673131,0.298638240785811,"lofo_median",1.145,0.489,2.15,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"oxygen_growth","softmax_2class","PASS",2331,0.849420849420849,"platt",0.0198059069227664,0.00986770342781865,0.0100465453664729,0.0100465453664729,0.0258137629617141,0.0195776104124687,0.0126387069703285,0.0126387069703285,0.00975936155629347,0.0131750559913856,"lofo_median",1.129,0.844,-0.2,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"oxygen_microaerophile","binary_sigmoid","PASS",2881,0.815341895175286,"platt",0.0423937198490811,0.051742555531844,0.0151140252568412,0.0151140252568412,0.202780840419518,0.213676821815885,0.0150274119494241,0.0150274119494241,0.0272796945922399,0.187753428470093,"lofo_median",1.133,0.791,-1.859,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"oxygen_obligate","softmax_2class","PASS",116,0.870689655172414,"none",0.0504744041471699,0.0620381734164208,0.0918255226800749,0.0504744041471699,0.0766838192904568,0.0839889479580593,0.0986583726988392,0.0766838192904568,0,0,"lofo_median",1.205,0.918,0.314,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"pathogenicity_animal","linear_platt","PASS",4686,0.636790439607341,"platt_linear",0.217989572813228,NA,0.00236847287922502,0.00236847287922502,0.401124233021299,NA,5.14922178445924e-05,5.14922178445924e-05,0.215621099934003,0.401072740803454,"lofo_median",NA,0.516,-3.341,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"pathogenicity_human","linear_platt","PASS",4686,0.295988049509176,"platt_linear",0.517087911800875,NA,0.0049989701484116,0.0049989701484116,0.453857216296115,NA,0.00271464724405046,0.00271464724405046,0.512088941652463,0.451142569052065,"lofo_median",NA,-2.102,0.632,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"pathogenicity_plant","linear_platt","PASS",4686,0.933205292360222,"platt_linear",0.105813184314032,NA,0.00102920381363135,0.00102920381363135,0.425537118960107,NA,3.72734783896256e-05,3.72734783896256e-05,0.104783980500401,0.425499845481718,"lofo_median",NA,1.096,-5.181,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
"spore","binary_sigmoid","PASS",1224,0.888888888888889,"platt",0.0177359146926776,0.0158696644632278,0.0131995919973996,0.0131995919973996,0.0521155345632296,0.0519385325540435,0.0179366912216652,0.0179366912216652,0.00453632269527799,0.0341788433415644,"lofo_median",0.916,1.168,-0.626,"/home/yhan/bacdive/output/calibration_logo.rds","valtest_lofo","valtest","phylum_non_na","lofo_event_ece_method_selection","2026-03-03 11:08:09 UTC"
